family_id	provenance_json
0009a88d4afc30d2038bb95302980cba973f583b73155b8d0dfc357bd8b52f9f	{"symbol":"absl::container_internal::(anonymous namespace)::GrowToNextCapacityAndPrepareInsert(absl::container_internal::CommonFields&, absl::container_internal::PolicyFunctions const&, unsigned long)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
00c89763cb26c53bed59b71a5393770b74a863783f5db603679629f01cb05f12	{"symbol":"_RNvMs1_NtNtNtCs6ZjlLoI6YmX_3std4sync4mpmc4listINtB5_7ChannelNtNtNtCseoayFEFQqjH_6client2io8ondemand13WorkerMessageE4sendB12_","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
011610dff68d7355846fb92d0395271a165614a80fd394b0414cbffdc968540c	{"symbol":"_RNvXNtNtCscHgRw1M2fX5_5alloc3vec14spec_from_iterINtB4_3VeclEINtB2_12SpecFromIterlINtNtNtNtCsc36rpYXAlPq_4core4iter8adapters3map3MapINtNtNtB1q_3ops5range5RangejENCINvNtNtCseoayFEFQqjH_6client2io8ondemand14read_raw_tableNCNvMs1_B2D_NtB2D_8OnDemand3news2_0E0EE9from_iterB2H_","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
0155253774a724226f43fdfb929e4207ff0f24f806dfc37c5f9c995bb07190d4	{"symbol":"v8::base::TemplateHashMapImpl<unsigned long, unsigned int, v8::base::KeyEqualityMatcher<long>, v8::base::DefaultAllocationPolicy>::Resize()","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
026de9af00608c3d6771cdace6f08bfd4120bad5d127b30400674af76cd7ca51	{"symbol":"_RNvXsa_NtCscHgRw1M2fX5_5alloc3vecINtB5_3VecIBw_lEENtNtCsc36rpYXAlPq_4core5clone5Clone5cloneCsjCVkXGB5m1G_3api","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
02c9bda346a88976e269d0be2a7b2efa24fcbf4c395a940726f431c57755eafc	{"symbol":"_RNvMs0_NtCs3ffjLCRwtey_2v87isolateNtB5_7Isolate10initialize","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
036e294a7d4186612dfca04b3460ad623884911c9559f6d81c96d4044089df95	{"symbol":"std::__Cr::unique_ptr<cppgc::internal::BaseSpace, std::__Cr::default_delete<cppgc::internal::BaseSpace> >& std::__Cr::vector<std::__Cr::unique_ptr<cppgc::internal::BaseSpace, std::__Cr::default_delete<cppgc::internal::BaseSpace> >, std::__Cr::allocator<std::__Cr::unique_ptr<cppgc::internal::BaseSpace, std::__Cr::default_delete<cppgc::internal::BaseSpace> > > >::emplace_back<std::__Cr::unique_ptr<cppgc::internal::BaseSpace, std::__Cr::default_delete<cppgc::internal::BaseSpace> > >(std::__Cr::unique_ptr<cppgc::internal::BaseSpace, std::__Cr::default_delete<cppgc::internal::BaseSpace> >&&)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
0441dcf43b67a4b7a2e4884afa0e5bdfdad7dcc2f33f7215d092bd9b86097970	{"symbol":"_RNvXs3_NtNtCs3mPnGIsjFaM_11signal_hook8iterator7backendINtB5_14PendingSignalsNtNtB7_11exfiltrator10SignalOnlyENtB5_9AddSignal10add_signalCshu1YjhL9Q4t_9crossterm","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
048227bfb6448da351d12facc82be723e159520e075d8b3d66bb1d16b71e9999	{"symbol":"cppgc::internal::Sweeper::Sweeper(cppgc::internal::HeapBase&)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
0495fd1933e44946f45f4c73359f2b114dd16b12edfe3ed7ecca4e55ae132a2b	{"symbol":"_RNvXs_NtNtCscHgRw1M2fX5_5alloc3vec21spec_from_iter_nestedINtB6_3VecNtNtB8_6string6StringEINtB4_18SpecFromIterNestedB13_INtNtNtNtCsc36rpYXAlPq_4core4iter8adapters3map3MapINtNtB1Y_4take4TakeINtNtNtB22_5slice4iter4IterTB13_lEEENCNvMs0_NtCsh45fz8A1of3_3tui3appNtB3I_6TuiApp13draw_inv_locss_0EE9from_iterB3K_","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
056ac9fa3649149535ae2f27f31de534f79d3502fd7f81bf37c92390fa2fc1be	{"symbol":"std::__Cr::pair<void (*)(v8::Isolate*, v8::EmbedderGraph*, void*), void*>& std::__Cr::vector<std::__Cr::pair<void (*)(v8::Isolate*, v8::EmbedderGraph*, void*), void*>, std::__Cr::allocator<std::__Cr::pair<void (*)(v8::Isolate*, v8::EmbedderGraph*, void*), void*> > >::emplace_back<std::__Cr::pair<void (*)(v8::Isolate*, v8::EmbedderGraph*, void*), void*> >(std::__Cr::pair<void (*)(v8::Isolate*, v8::EmbedderGraph*, void*), void*>&&)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
05bfbb0311ff41c34a955b06da1c5819a57768e874cbcd6a400c1d153959af0b	{"symbol":"_RNvMs4_NtNtCsgfI0YPFYkVC_12futures_util6stream17futures_unorderedINtB5_16FuturesUnorderedINtNtCsc36rpYXAlPq_4core3pin3PinINtNtCscHgRw1M2fX5_5alloc5boxed3BoxDNtNtNtB1u_6future6future6Futurep6OutputTlINtNtB1u_6result6ResultNtNtNtCs5bJpdm632qa_9deno_core7modules14recursive_load19RecursiveModuleLoadNtNtB3D_5error9CoreErrorEEEL_EEE3newB3D_","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
065e2c1a0a0d98c71fab0691ea6ead636870b3691ae79b35534f5cf4206af74b	{"symbol":"v8::internal::ThreadManager::ThreadManager(v8::internal::Isolate*)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
06dda4345adc497f06700170310c7417b603b4ead60ef1491d13b3c1c7613609	{"symbol":"_RINvMs3_NtCs46fkt1xHg5P_11rustyscript13inner_runtimeINtB6_12InnerRuntimeNtNtNtCs5bJpdm632qa_9deno_core7runtime9jsruntime9JsRuntimeE17register_functionNCNvNtNtCs8BNLh0y6PrD_6script4load7isolate12wire_runtimes2_0EB2w_","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
075163944ac5d388fd7bed2dc5eb1ffcd0d2ef719bc1204dc87432eb245882dd	{"symbol":"v8::internal::BackingStore::Allocate(v8::internal::Isolate*, unsigned long, v8::internal::SharedFlag, v8::internal::InitializedFlag)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
077c2ea1015258eed6fb0e1a208cf63509b7c47248559ed46c94400c66d1f7db	{"symbol":"_RNvMNtNtCs46fkt1xHg5P_11rustyscript13module_loader12inner_loaderNtB2_16InnerRustyLoader14add_source_map","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
089bd16d9c1cfa119f391df034aa69d602ca84c9b94a1790528ed106e8332a71	{"symbol":"_RINvMs6_NtCs1lJFy7o6pGX_9hashbrown3rawINtB6_8RawTableTNtNtCscHgRw1M2fX5_5alloc6string6StringNtCs3JBA3HkGT3V_9host_play6NavBotEE14reserve_rehashNCINvNtB8_3map11make_hasherBQ_B1s_NtNtNtCs6ZjlLoI6YmX_3std4hash6random11RandomStateE0EB1u_","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
0928fc24fd207c1be570d15d500acf23e0b01c83ba5b4d3200e94599815089ce	{"symbol":"v8::internal::Isolate::Isolate(v8::internal::IsolateGroup*)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
096d438c37c9977fb6448fdba38a462e10644befdb233603dda487b12b40abdb	{"symbol":"_RNvMs5_NtCscHgRw1M2fX5_5alloc7raw_vecNtB5_11RawVecInner11finish_growCs8BNLh0y6PrD_6script.llvm.1176234891485507467","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
09988fff949804281ceb8e88c714ebf7ee307a97fda002f6199922ef4979199c	{"symbol":"v8::tracing::TracingCategoryObserver::SetUp()","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
09afbcf0043a064ece9541f480ab543dca5bab9d363a9fc2b3f7d3714e9b90eb	{"symbol":"_RNvMs0_NtNtCseoayFEFQqjH_6client6dash3d5modelNtB5_5Model13copy_for_anim","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
09d69e0507f94583b57cf6d925bea537e480b526580fc4d762c3cd2c9e1d3353	{"symbol":"_RINvMs0_NtNtNtNtCs6ZjlLoI6YmX_3std3sys12thread_local6native4lazyINtB6_7StorageINtNtCsc36rpYXAlPq_4core4cell7RefCellINtCsaQc12MtFacQ_3lru8LruCacheTNtNtNtCs9EEH76LUcI7_12ratatui_core6layout4rect4RectNtNtB2o_6layout6LayoutETINtNtCscHgRw1M2fX5_5alloc2rc2RcSB2k_EB3x_EEEuE16get_or_init_slowNvNvB3b_12LAYOUT_CACHE27___rust_std_internal_init_fnEB2q_","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
09ee6517a97463886287f5e1da963c1533aec96ddb6c10d32b33a17c3bc98420	{"symbol":"v8::internal::wasm::CanonicalTypeIndex& std::__Cr::vector<v8::internal::wasm::CanonicalTypeIndex, std::__Cr::allocator<v8::internal::wasm::CanonicalTypeIndex> >::emplace_back<v8::internal::wasm::CanonicalTypeIndex>(v8::internal::wasm::CanonicalTypeIndex&&)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
0acd8c5232f54ca5d248bc9fcffa2e19db0afd3c11ab290ad7895f143331e527	{"symbol":"_RINvMsa_NtCs1lJFy7o6pGX_9hashbrown3rawNtB6_13RawTableInner22fallible_with_capacityNtNtCscHgRw1M2fX5_5alloc5alloc6GlobalECs8BNLh0y6PrD_6script.llvm.12092620848130726821","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
0ae627823fd8d8ab878efe3edc45e0f25676f6cb216435a2e4a2b314a5b3ae00	{"symbol":"_RNvMNtNtCseoayFEFQqjH_6client4core5worldNtB2_5World3new","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
0af2463f5a76eb26a859b838f7c880ec3d700be72c8501a3ea055dc48a3458a2	{"symbol":"_RNvNtCs8BNLh0y6PrD_6script10isolate_fb13bank_stand_fp","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
0b3311cf309b06ae11e7251f1f02f57240f64213c87fa4cc81f6e68e097ac58a	{"symbol":"cppgc::internal::HeapBase*& std::__Cr::vector<cppgc::internal::HeapBase*, std::__Cr::allocator<cppgc::internal::HeapBase*> >::emplace_back<cppgc::internal::HeapBase*>(cppgc::internal::HeapBase*&&)","file":"","line":0,"domain":"allocator_or_native_boundary","ownership":"unknown","anchor":null}
